malaffi_code,malaffi_description,hms_name,is_default
AFG,Afghan,Afghanistan,
AGO,Angolan,Angola,
ALB,Albanian,Albania,
AND,Andorran,Andorra,
ARE,Emirati,United Arab Emirates,
ARG,Argentine,Argentina,
ARM,Armenian,Armenia,
ASM,Samoan,American Samoa,
ATG,Antiguan,Antigua and Barbuda,
AUS,Australian,Australia,
AUT,Austrian,Austria,
AZE,Azerbaijani,Azerbaijan,
BDI,Burundian,Burundi,
BEL,Belgian,Belgium,
BEN,Beninese,Benin,
BFA,Burkinabe,Burkina Faso,
BGD,Bangladeshi,Bangladesh,
BGR,Bulgarian,Bulgaria,
BHR,Bahraini,Bahrain,
BHS,Bahamian,Bahamas,
BID,Bidoun,,
BIH,Bosnian,Bosnia and Herzegovina,
BLR,Belarusian,Belarus,
BLZ,Belizean,Belize,
BOL,Bolivian,Bolivia,
BRA,Brazilian,Brazil,
BRB,Barbadian,Barbados,
BRN,Bruneian,Brunei Darussalam,
BTN,Bhutanese,Bhutan,
BWA,Motswana,Botswana,
CAF,Central African,Central African Republic,
CAN,Canadian,Canada,
CHE,Swiss,Switzerland,
CHL,Chilean,Chile,
CHN,Chinese,China,
CIV,Ivorian,Cote d Ivoire,
CMR,Cameroonian,Cameroon,
COG,Congolese,Congo (Democratic Republic of the),
COG,Congolese,Congo,
COK,Cook Islander,Cook Islands,
COL,Colombian,Colombia,
COM,Comoran,Comoros,
CPV,Cape Verdean,Cabo Verde,
CRI,Costa Rican,Costa Rica,
CUB,Cuban,Cuba,
CYP,Cypriot,Cyprus,
CZE,Czech,Czechia,
DEU,German,Germany,
DJI,Djiboutian,Djibouti,
DMA,Dominica,Dominica,
DNK,Danish,Denmark,
DOM,Dominican Republic,Dominican Republic,
DZA,Algerian,Algeria,
ECU,Ecuadorian,Ecuador,
EGY,Egyptian,Egypt,
ERI,Eritrean,Eritrea,
ESH,Sahrawi,Western Sahara,
ESP,Spanish,Spain,
EST,Estonian,Estonia,
ETH,Ethiopian,Ethiopia,
FIN,Finnish,Finland,
FJI,Fijian,Fiji,
FRA,French,Falkland Islands (Malvinas),
FSM,Micronesian,Micronesia,
GAB,Gabonese,Gabon,
GBR,British,United Kingdom,
GEO,Georgian,Georgia,
GHA,Ghanaian,Ghana,
GIN,Guinean,Guinea,
GMB,Gambian,Gambia,
GNB,Guinea-Bissau,Guinea-Bissau,
GNQ,Equatoguinean,Equatorial Guinea,
GRC,Greek,Greece,
GRD,Grenadian,Grenada,
GTM,Guatemalan,Guatemala,
GUY,Guyanese,Guyana,
HND,Honduran,Honduras,
HRV,Croatian,Croatia,
HTI,Haitian,Haiti,
HUN,Hungarian,Hungary,
IDN,Indonesian,Indonesia,
IND,Indian,India,
IRL,Irish,Ireland,
IRN,Iranian,Iran,
IRQ,Iraqi,Iraq,
ISL,Icelander,Iceland,
ISR,Israeli,Israel,
ITA,Italian,Italy,
JAM,Jamaican,Jamaica,
JOR,Jordanian,Jordan,
JPN,Japanese,Japan,
KAZ,Kazakhstani,Kazakhstan,
KEN,Kenyan,Kenya,
KGZ,Kyrgyzstani,Kyrgyzstan,
KHM,Cambodian,Cambodia,
KIR,I-Kiribati,Kiribati,
KNA,Kittitian,Saint Kitts and Nevis,
KOR,Korean,South Korea,
KWT,Kuwaiti,Kuwait,
LAO,Laotian,Laos,
LBN,Lebanese,Lebanon,
LBR,Liberian,Liberia,
LBY,Libyan,Libya,
LCA,Saint Lucian,Saint Lucia,
LKA,Sri Lankan,Sri Lanka,
LSO,Basotho,Lesotho,
LTU,Lithuanian,Lithuania,
LUX,Luxembourger,Luxembourg,
LVA,Latvian,Latvia,
MAR,Moroccan,Morocco,
MCO,Monegasque,Monaco,
MDA,Moldovan,Moldova,
MDG,Malagasy,Madagascar,
MDV,Maldivian,Maldives,
MEX,Mexican,Mexico,
MHL,Marshallese,Marshall Islands,
MKD,Macedonian,Macedonia,
